disease_id,name_vi,name_en,chapter,main_topic_url,related_topics_count,related_topics_titles
candida_da_niem_mac,Bệnh da và niêm mạc do Candida,Candidosis,Bệnh da do ký sinh trùng - côn trùng,https://dermnetnz.org/topics/candida,5,Acquired chronic mucocutaneous candidiasis | Candida infection of flexural skin | Candidal vulvovaginitis | Non-albicans candida infections | Oral Candida infection
nam_toc,Nấm tóc,Tinea capitis,Bệnh da do ký sinh trùng - côn trùng,https://dermnetnz.org/topics/tinea-capitis,34,Allergy sensitivity to fungi syndrome | Athletes foot | Barbers itch | Body tinea | Candidal onychia | Corticosteroid-modified dermatophytosis | Cradle cap | Dandruff | Dermatophytosis | Dermatophytosis | Dermatophytosis of hand | Dermatoscopy of tinea versicolor | Dissecting cellulitus of the scalp | Favus | Fungal infection of nail pathology | Genitocrural dermatophytosis | Head lice | Keratomycosis nigricans | Laboratory tests for fungal infection | Majocchi granuloma | Pityriasis amiantacea | Pityriasis versicolor | Pityriasis versicolor pathology | Ringworm of face | Suppurative dermatophytosis | Therapies for dermatophytosis | Tinea capitis pathology | Tinea caused by Trichophyton mentagrophytes | Tinea corporis images | Tinea corporis pathology | Tinea incognito pathology | Tinea nigra pathology | Tinea pedis images | Trichoscopy of head lice
nam_mong_pdf,Nấm móng,Onychomycosis,Bệnh da do ký sinh trùng - côn trùng,,2,Fungal infection of nail pathology | Mould infections of skin and nails
viem_da_tiep_xuc_con_trung,Viêm da tiếp xúc do côn trùng,Paederus dermatitis,Bệnh da do ký sinh trùng - côn trùng,https://dermnetnz.org/topics/paederus-dermatitis,150,"Acantholysis bullosa | ACD | ACD to blood sugar monitors | Acne cheloidalis nuchae | Acquired blaschkoid dermatitis | Acrodermatitis chronica atrophicans | Acrodermatitis continua of Hallopeau | Acrodermatitis enteropathica | Acrodermatitis enteropathica-like conditions | Acrodermatitis of childhood | Actinic reticuloid | Acute palmoplantar eczeama | ADD | Adeps lanae anhydrous allergy | Adverse cutaneous reaction to drug | Airborne contact dermatitis | Allergic contact blepharitis | Allergic contact dermatitis | Allergic contact dermatitis affecting the face images | Allergic contact dermatitis by hairdressing product | Allergic contact dermatitis due to topical bufexamac | Allergic contact dermatitis in children | Allergic contact dermatitis of the hands images | Allergic contact dermatitis of the limbs images | Allergic contact dermatitis of the trunk images | Allergic contact dermatitis on feet | Allergic contact dermatitis to benzisothiazolinone | Allergic contact dermatitis to essential oils | Allergic contact dermatitis to fragrance | Allergic contact dermatitis to gold | Allergic contact dermatitis to isocyanate | Allergic contact dermatitis to methylisothiazolinone | Allergic contact dermatitis to nickel | Allergic contact dermatitis to propylene glycol | Allergic contact dermatitis to seminal fluid | Allergic contact dermatitis to shellac | Allergic contact dermatitis to sodium metabisulfite | Allergic contact dermatitis to textile dyes | Allergic contact dermatitis to topical biocides | Allergy to dimethyl fumarate | Allergy to rubber accelerators | Annular lichenoid dermatitis of youth | Anogenital cellulitis of infancy/childhood | Arthrocutaneouveal granulomatosis | Assessment of atopic dermatitis | Asteraceae allergies | Atopic dermatitis | Atopic dermatitis of the hands | Atopic winter feet | Autoeczematisation | Autoimmune progesterone dermatitis | Axillary granular parakeratosis | Axillary granular parakeratosis images | Barrier function in atopic dermatitis | Benign mucosal pemphigoid | Benzalkonium chloride contact dermatitis | Bindi dermatitis | Biotin deficiency dermatitis | Bird mite dermatitis | Bovine pustular stomatitis | Bowel bypass syndrome | CACD | Capillaritis pathology | Causes of allergic dermatitis | Cement dermatitis | Cercarial dermatitis | Chondrodermatitis nodularis | Chondrodermatitis nodularis pathology | Chromoblastomycosis | Chronic radiodermatitis pathology | Chronic superficial dermatitis | Clothing dermatitis | Coeliac disease | Complications of atopic dermatitis | Compulsive hand washing | Computer mouse dermatitis | Contact allergy to lauryl glucoside | Contact dermatitis | Contact dermatitis of the eyelid images | Contact dermatitis to formaldehyde | Contact dermatitis to fragrance | Contact dermatitis to jewellery | Contact dermatitis to nitrile | Contact irritant dermatitis | Contact irritant dermatitis images | Cradle cap | DA | Dandruff | Dermatitis | Dermatitis exfoliativa | Dermatitis herpetiformis | Dermatitis herpetiformis of pregnancy | Dermatitis herpetiformis pathology | Dermatitis neglecta | Dermatosis papulosa adultorum | Dermoscopy of inflammatory conditions | Discoid dermatitis | Drug-induced exfoliative dermatitis | Drug-induced nummular dermatitis | Eczema due to housework | Eczema intertrigo | Eczema, dermatitis and allergies | Erythroderma | Erythroderma desquamativum | Erythroderma images | Erythrodermic psoriasis | Fibreglass dermatitis | Fingertip dermatitis | Flagellate dermatitis | Flagellate erythema | Forefoot dermatitis images | Gianotti-Crosti syndrome images | Granulomatous dermatitis | Gravitational eczema | Guidelines for the management of adult eczema | Guidelines for the outpatient management of childhood eczema | Halo dermatitis | Hand dermatitis | Hand dermatitis images | Hot tub dermatitis | Hyperkeratotic eczema of the palms | Incontinence dermatitis | Interstitial granulomatous dermatitis pathology | Irritant contact cheilitis due to lip-licking | Lichen simplex of the vulva | Lichenified dermatitis | Marine dermatitis | Napkin dermatitis | Neurodermatitis of the scrotum | Nipple dermatitis | Occupational dermatitis among construction workers | Onchocerciasis | Papular dermatitis of pregnancy | Periocular dermatitis | Perioral dermatitis in childhood | Periorificial dermatitis | Photo-irritant contact dermatitis | Phytodermatosis | Phytophotodermatitis | Pityriasiform seborrhoeic dermatitis | Pretibial pruritic papular dermatitis | Psoriasiform seborrheic dermatitis | Psychological effects of atopic dermatitis | Pyodermatitis vegetans | Radiation burn | SCORAD | Seaweed dermatitis | Shiitake flagellate dermatitis images | Systemic contact dermatitis | Therapies for atopic eczema"
zona_than_kinh,Bệnh zona,Herpes zoster,Bệnh da do vi rút,https://dermnetnz.org/topics/herpes-zoster,12,Alphaherpesvirinae | Becker melanosis | Chickenpox pathology | Chickenpox pathology | Dermatitis herpetiformis of pregnancy | Epstein-Barr virus | Genital herpes | Genital herpes images | Herpes varicella zoster | Herpes zoster images | Human herpesvirus 1 | Linear porokeratosis
hat_com,Bệnh hạt cơm,Warts,Bệnh da do vi rút,,6,Anogenital wart | Common warts pathology | Cutaneous viral warts | Papilloma | Plane warts pathology | Viral warts images
u_mem_lay,U mềm lây,Molluscum contagiosum,Bệnh da do vi rút,https://dermnetnz.org/topics/molluscum-contagiosum,10,Benign familial chronic pemphigus | Benign paroxysmal peritonitis | Bovine pustular stomatitis | Erythema contagiosum | Familial benign chronic pemphigus pathology | Familial cold autoinflammatory syndrome | LMDF pathology | Milia images | Miliaria | Molluscum contagiosum pathology
lupus_ban_do,Lupus ban đỏ,Lupus erythematosus,Bệnh da tự miễn,,17,Acne agminata | Anticardiolipin syndrome | Bullous systemic lupus erythematosus | Chilblain LE | Chronic cutaneous lupus erythematosus | Cutaneous lupus erythematosus | Cutaneous lupus erythematosus images | Discoid lupus erythematosus pathology | Drug induced chronic cutaneous LE | Erythema multiforme-like lupus erythematosus | LMDF pathology | Neonatal lupus | Nodular sarcoidosis | Psychological effects of cutaneous lupus erythematosus | SLE images | Subacute cutaneous lupus erythematosus | Systemic lupus erythematosus
viem_bi_co,Viêm bì cơ,Dermatomyositis,Bệnh da tự miễn,,5,Adult-onset dermatomyositis | Childhood type dermatomyositis | Dermatomyositis images | Dermatomyositis-like drug eruption | Dermoscopy of inflammatory conditions
pemphigus,Pemphigus,Pemphigus,Bệnh da tự miễn,,17,Amendola syndrome | Benign familial chronic pemphigus | Benign mucosal pemphigoid | BP pathology | Brunsting-Perry cicatricial pemphigoid | Brunsting-Perry cicatricial pemphigoid pathology | Dermatitis herpetiformis of pregnancy | Drug-induced pemphigus foliaceus | Familial benign chronic pemphigus pathology | IEN type IgA pemphigus | Paraneoplastic pemphigus | Paraneoplastic pemphigus pathology | Pemphigoid nodularis | Pemphigus foiiaceous pathology | Pemphigus foliaceous | Pemphigus vulgaris | Pemphigus vulgaris pathology
pemphigoid,Bọng nước dạng pemphigus,Bullous pemphigoid,Bệnh da tự miễn,,21,Benign familial chronic pemphigus | Benign mucosal pemphigoid | BP pathology | Brunsting-Perry cicatricial pemphigoid | Brunsting-Perry cicatricial pemphigoid pathology | Bullous acrokeratotic poikiloderma of Kindler and Weary | Bullous congenital ichthyosiform erythroderma | Bullous systemic lupus erythematosus | Dermatitis herpetiformis of pregnancy | Drug-induced pemphigus foliaceus | Familial benign chronic pemphigus pathology | Heparin-induced haemorrhagic bullous dermatosis | IEN type IgA pemphigus | Linear IgA bullous disease | Paraneoplastic pemphigus | Paraneoplastic pemphigus pathology | Pemphigoid nodularis | Pemphigus foiiaceous pathology | Pemphigus foliaceous | Pemphigus vulgaris | Pemphigus vulgaris pathology
benh_duhring,Viêm da dạng herpes Duhring-Brocq,Dermatitis herpetiformis,Bệnh da tự miễn,https://dermnetnz.org/topics/dermatitis-herpetiformis,164,"Acantholysis bullosa | ACD | ACD to blood sugar monitors | Acne cheloidalis nuchae | Acquired blaschkoid dermatitis | Acrodermatitis chronica atrophicans | Acrodermatitis continua of Hallopeau | Acrodermatitis enteropathica | Acrodermatitis enteropathica-like conditions | Acrodermatitis of childhood | Actinic reticuloid | Acute palmoplantar eczeama | ADD | Adeps lanae anhydrous allergy | Adverse cutaneous reaction to drug | Airborne contact dermatitis | Allergic contact blepharitis | Allergic contact dermatitis | Allergic contact dermatitis affecting the face images | Allergic contact dermatitis by hairdressing product | Allergic contact dermatitis due to topical bufexamac | Allergic contact dermatitis in children | Allergic contact dermatitis of the hands images | Allergic contact dermatitis of the limbs images | Allergic contact dermatitis of the trunk images | Allergic contact dermatitis on feet | Allergic contact dermatitis to benzisothiazolinone | Allergic contact dermatitis to essential oils | Allergic contact dermatitis to fragrance | Allergic contact dermatitis to gold | Allergic contact dermatitis to isocyanate | Allergic contact dermatitis to methylisothiazolinone | Allergic contact dermatitis to nickel | Allergic contact dermatitis to propylene glycol | Allergic contact dermatitis to seminal fluid | Allergic contact dermatitis to shellac | Allergic contact dermatitis to sodium metabisulfite | Allergic contact dermatitis to textile dyes | Allergic contact dermatitis to topical biocides | Allergy to dimethyl fumarate | Allergy to rubber accelerators | Annular lichenoid dermatitis of youth | Anogenital cellulitis of infancy/childhood | Arthrocutaneouveal granulomatosis | Assessment of atopic dermatitis | Asteraceae allergies | Atopic dermatitis | Atopic dermatitis of the hands | Atopic winter feet | Autoeczematisation | Autoimmune progesterone dermatitis | Axillary granular parakeratosis | Axillary granular parakeratosis images | Barrier function in atopic dermatitis | Benign familial chronic pemphigus | Benign mucosal pemphigoid | Benzalkonium chloride contact dermatitis | Bindi dermatitis | Biotin deficiency dermatitis | Bird mite dermatitis | Bovine pustular stomatitis | Bowel bypass syndrome | BP pathology | Brunsting-Perry cicatricial pemphigoid | Brunsting-Perry cicatricial pemphigoid pathology | CACD | Capillaritis pathology | Causes of allergic dermatitis | Cement dermatitis | Cercarial dermatitis | Chondrodermatitis nodularis | Chondrodermatitis nodularis pathology | Chromoblastomycosis | Chronic radiodermatitis pathology | Chronic superficial dermatitis | Clothing dermatitis | Coeliac disease | Complications of atopic dermatitis | Compulsive hand washing | Computer mouse dermatitis | Contact allergy to lauryl glucoside | Contact dermatitis | Contact dermatitis of the eyelid images | Contact dermatitis to formaldehyde | Contact dermatitis to fragrance | Contact dermatitis to jewellery | Contact dermatitis to nitrile | Contact irritant dermatitis | Contact irritant dermatitis images | Cradle cap | DA | Dandruff | Dermatitis | Dermatitis exfoliativa | Dermatitis herpetiformis of pregnancy | Dermatitis herpetiformis pathology | Dermatitis linearis | Dermatitis neglecta | Dermatosis papulosa adultorum | Dermoscopy of inflammatory conditions | Discoid dermatitis | Drug-induced exfoliative dermatitis | Drug-induced nummular dermatitis | Drug-induced pemphigus foliaceus | Eczema due to housework | Eczema intertrigo | Eczema, dermatitis and allergies | Erythroderma | Erythroderma desquamativum | Erythroderma images | Erythrodermic psoriasis | Familial benign chronic pemphigus pathology | Fibreglass dermatitis | Fingertip dermatitis | Flagellate dermatitis | Flagellate erythema | Forefoot dermatitis images | Gianotti-Crosti syndrome images | Granulomatous dermatitis | Gravitational eczema | Guidelines for the management of adult eczema | Guidelines for the outpatient management of childhood eczema | Halo dermatitis | Hand dermatitis | Hand dermatitis images | Hot tub dermatitis | Hyperkeratotic eczema of the palms | IEN type IgA pemphigus | Incontinence dermatitis | Interstitial granulomatous dermatitis pathology | Irritant contact cheilitis due to lip-licking | Lichen simplex of the vulva | Lichenified dermatitis | Marine dermatitis | Napkin dermatitis | Neurodermatitis of the scrotum | Nipple dermatitis | Occupational dermatitis among construction workers | Onchocerciasis | Papular dermatitis of pregnancy | Paraneoplastic pemphigus | Paraneoplastic pemphigus pathology | Pemphigoid nodularis | Pemphigus foiiaceous pathology | Pemphigus foliaceous | Pemphigus vulgaris | Pemphigus vulgaris pathology | Periocular dermatitis | Perioral dermatitis in childhood | Periorificial dermatitis | Photo-irritant contact dermatitis | Phytodermatosis | Phytophotodermatitis | Pityriasiform seborrhoeic dermatitis | Pretibial pruritic papular dermatitis | Psoriasiform seborrheic dermatitis | Psychological effects of atopic dermatitis | Pyodermatitis vegetans | Radiation burn | SCORAD | Seaweed dermatitis | Shiitake flagellate dermatitis images | Systemic contact dermatitis | Therapies for atopic eczema"
hoi_chung_raynaud,Hội chứng Raynaud,Raynaud syndrome,Bệnh da tự miễn,https://dermnetnz.org/topics/raynaud-phenomenon,0,
viem_da_co_dia_pdf,Viêm da cơ địa,Atopic dermatitis,Bệnh da dị ứng - miễn dịch,https://dermnetnz.org/topics/atopic-dermatitis,152,"Acantholysis bullosa | ACD | ACD to blood sugar monitors | Acne cheloidalis nuchae | Acquired blaschkoid dermatitis | Acrodermatitis chronica atrophicans | Acrodermatitis continua of Hallopeau | Acrodermatitis enteropathica | Acrodermatitis enteropathica-like conditions | Acrodermatitis of childhood | Actinic reticuloid | Acute palmoplantar eczeama | ADD | Adeps lanae anhydrous allergy | Adverse cutaneous reaction to drug | Airborne contact dermatitis | Allergic contact blepharitis | Allergic contact dermatitis | Allergic contact dermatitis affecting the face images | Allergic contact dermatitis by hairdressing product | Allergic contact dermatitis due to topical bufexamac | Allergic contact dermatitis in children | Allergic contact dermatitis of the hands images | Allergic contact dermatitis of the limbs images | Allergic contact dermatitis of the trunk images | Allergic contact dermatitis on feet | Allergic contact dermatitis to benzisothiazolinone | Allergic contact dermatitis to essential oils | Allergic contact dermatitis to fragrance | Allergic contact dermatitis to gold | Allergic contact dermatitis to isocyanate | Allergic contact dermatitis to methylisothiazolinone | Allergic contact dermatitis to nickel | Allergic contact dermatitis to propylene glycol | Allergic contact dermatitis to seminal fluid | Allergic contact dermatitis to shellac | Allergic contact dermatitis to sodium metabisulfite | Allergic contact dermatitis to textile dyes | Allergic contact dermatitis to topical biocides | Allergy to dimethyl fumarate | Allergy to rubber accelerators | Annular lichenoid dermatitis of youth | Anogenital cellulitis of infancy/childhood | Arthrocutaneouveal granulomatosis | Assessment of atopic dermatitis | Asteraceae allergies | Atopic allergy | Atopic dermatitis of the hands | Atopic eruption of pregnancy | Atopic winter feet | Autoeczematisation | Autoimmune progesterone dermatitis | Axillary granular parakeratosis | Axillary granular parakeratosis images | Barrier function in atopic dermatitis | Benign mucosal pemphigoid | Benzalkonium chloride contact dermatitis | Bindi dermatitis | Biotin deficiency dermatitis | Bird mite dermatitis | Bovine pustular stomatitis | Bowel bypass syndrome | CACD | Capillaritis pathology | Causes of allergic dermatitis | Cement dermatitis | Cercarial dermatitis | Chondrodermatitis nodularis | Chondrodermatitis nodularis pathology | Chromoblastomycosis | Chronic radiodermatitis pathology | Chronic superficial dermatitis | Clothing dermatitis | Coeliac disease | Complications of atopic dermatitis | Compulsive hand washing | Computer mouse dermatitis | Contact allergy to lauryl glucoside | Contact dermatitis | Contact dermatitis of the eyelid images | Contact dermatitis to formaldehyde | Contact dermatitis to fragrance | Contact dermatitis to jewellery | Contact dermatitis to nitrile | Contact irritant dermatitis | Contact irritant dermatitis images | Cradle cap | DA | Dandruff | Dermatitis | Dermatitis exfoliativa | Dermatitis herpetiformis | Dermatitis herpetiformis of pregnancy | Dermatitis herpetiformis pathology | Dermatitis linearis | Dermatitis neglecta | Dermatosis papulosa adultorum | Dermoscopy of inflammatory conditions | Discoid dermatitis | Drug-induced exfoliative dermatitis | Drug-induced nummular dermatitis | Eczema due to housework | Eczema intertrigo | Eczema, dermatitis and allergies | Erythroderma | Erythroderma desquamativum | Erythroderma images | Erythrodermic psoriasis | Fibreglass dermatitis | Fingertip dermatitis | Flagellate dermatitis | Flagellate erythema | Forefoot dermatitis images | Gianotti-Crosti syndrome images | Granulomatous dermatitis | Gravitational eczema | Guidelines for the management of adult eczema | Guidelines for the outpatient management of childhood eczema | Halo dermatitis | Hand dermatitis | Hand dermatitis images | Hot tub dermatitis | Hyperkeratotic eczema of the palms | Incontinence dermatitis | Interstitial granulomatous dermatitis pathology | Irritant contact cheilitis due to lip-licking | Lichen simplex of the vulva | Lichenified dermatitis | Marine dermatitis | Napkin dermatitis | Neurodermatitis of the scrotum | Nipple dermatitis | Occupational dermatitis among construction workers | Onchocerciasis | Papular dermatitis of pregnancy | Periocular dermatitis | Perioral dermatitis in childhood | Periorificial dermatitis | Photo-irritant contact dermatitis | Phytodermatosis | Phytophotodermatitis | Pityriasiform seborrhoeic dermatitis | Pretibial pruritic papular dermatitis | Psoriasiform seborrheic dermatitis | Psychological effects of atopic dermatitis | Pyodermatitis vegetans | Radiation burn | SCORAD | Seaweed dermatitis | Shiitake flagellate dermatitis images | Systemic contact dermatitis | Therapies for atopic eczema"
